,charId,Name,ClassJobsBozjan,ClassJobsElemental,DC,GrandCompany,Gender,Deity,Race,Nameday,Server,Title,TitleTop,Town,Tribe,Bio,GuardianDeity
0,12902234,Drifter Marz,"{'Level': 10, 'Mettle': 88970, 'Name': 'Resistance Rank'}","{'ExpLevel': 383, 'ExpLevelMax': 1000, 'ExpLevelTogo': 617, 'Level': 1, 'Name': 'Elemental Level'}",Primal,"{'Company': {'ID': 3, 'Name': 'Immortal Flames', 'Url': '/GrandCompany/3'}, 'Rank': {'ID': 10, 'Icon': '/i/083000/083110.png', 'Name': 'First Flame Lieutenant', 'Url': '/GCRankUldahMaleText/10'}}",1,,"{'ID': 6, 'Name': 'Au Ra', 'Url': '/Race/6'}",25th Sun of the 3rd Astral Moon,Ultros,"{'ID': 229, 'Icon': '/c/Title.png', 'Name': 'Dreadspawn', 'Url': '/Title/229'}",False,"{'ID': 3, 'Icon': '/i/060000/060883.png', 'Name': ""Ul'dah"", 'Url': '/Town/3'}","{'ID': 12, 'Icon': None, 'Name': 'Xaela', 'Url': '/Tribe/12'}",-,"{'GuardianDeity': None, 'ID': 1, 'Icon': '/i/061000/061601.png', 'Name': 'Halone, the Fury', 'Url': '/GuardianDeity/1'}"
1,35210768,Vaelarian Doralis,"{'Level': None, 'Mettle': None, 'Name': 'Resistance Rank'}","{'ExpLevel': 0, 'ExpLevelMax': 0, 'ExpLevelTogo': 0, 'Level': 0, 'Name': 'Elemental Level'}",Primal,"{'Company': {'ID': 1, 'Name': 'Maelstrom', 'Url': '/GrandCompany/1'}, 'Rank': {'ID': 9, 'Icon': '/i/083000/083009.png', 'Name': 'Second Storm Lieutenant', 'Url': '/GCRankLimsaMaleText/9'}}",1,,"{'ID': 1, 'Name': 'Hyur', 'Url': '/Race/1'}",23rd Sun of the 3rd Umbral Moon,Ultros,"{'ID': 475, 'Icon': '/c/Title.png', 'Name': '', 'Url': '/Title/475'}",False,"{'ID': 2, 'Icon': '/i/060000/060882.png', 'Name': 'Gridania', 'Url': '/Town/2'}","{'ID': 2, 'Icon': None, 'Name': 'Highlander', 'Url': '/Tribe/2'}",-,"{'GuardianDeity': None, 'ID': 6, 'Icon': '/i/061000/061606.png', 'Name': 'Oschon, the Wanderer', 'Url': '/GuardianDeity/6'}"
2,36173485,Lizzy Lizzay,"{'Level': 16, 'Mettle': 1182149, 'Name': 'Resistance Rank'}","{'ExpLevel': 18412, 'ExpLevelMax': 36128, 'ExpLevelTogo': 17716, 'Level': 6, 'Name': 'Elemental Level'}",Primal,"{'Company': {'ID': 2, 'Name': 'Order of the Twin Adder', 'Url': '/GrandCompany/2'}, 'Rank': {'ID': 9, 'Icon': '/i/083000/083059.png', 'Name': 'Second Serpent Lieutenant', 'Url': '/GCRankGridaniaFemaleText/9'}}",2,,"{'ID': 8, 'Name': 'Viera', 'Url': '/Race/8'}",20th Sun of the 5th Umbral Moon,Ultros,"{'ID': 296, 'Icon': '/c/Title.png', 'Name': 'Pom Friend', 'Url': '/Title/296'}",True,"{'ID': 2, 'Icon': '/i/060000/060882.png', 'Name': 'Gridania', 'Url': '/Town/2'}","{'ID': 15, 'Icon': None, 'Name': 'Rava', 'Url': '/Tribe/15'}",-,"{'GuardianDeity': None, 'ID': 9, 'Icon': '/i/061000/061609.png', 'Name': 'Azeyma, the Warden', 'Url': '/GuardianDeity/9'}"
3,20833237,Jim Morris,"{'Level': 17, 'Mettle': 2083278, 'Name': 'Resistance Rank'}","{'ExpLevel': 1475, 'ExpLevelMax': 2300, 'ExpLevelTogo': 825, 'Level': 2, 'Name': 'Elemental Level'}",Primal,"{'Company': {'ID': 3, 'Name': 'Immortal Flames', 'Url': '/GrandCompany/3'}, 'Rank': {'ID': 9, 'Icon': '/i/083000/083109.png', 'Name': 'Second Flame Lieutenant', 'Url': '/GCRankUldahMaleText/9'}}",1,,"{'ID': 7, 'Name': 'Hrothgar', 'Url': '/Race/7'}",16th Sun of the 4th Umbral Moon,Ultros,"{'ID': 603, 'Icon': '/c/Title.png', 'Name': 'Endwalker', 'Url': '/Title/603'}",True,"{'ID': 2, 'Icon': '/i/060000/060882.png', 'Name': 'Gridania', 'Url': '/Town/2'}","{'ID': 14, 'Icon': None, 'Name': 'The Lost', 'Url': '/Tribe/14'}",-,"{'GuardianDeity': None, 'ID': 1, 'Icon': '/i/061000/061601.png', 'Name': 'Halone, the Fury', 'Url': '/GuardianDeity/1'}"
4,36137423,Levele Luck,"{'Level': 18, 'Mettle': 4585450, 'Name': 'Resistance Rank'}","{'ExpLevel': 0, 'ExpLevelMax': 0, 'ExpLevelTogo': 0, 'Level': 0, 'Name': 'Elemental Level'}",Primal,"{'Company': {'ID': 1, 'Name': 'Maelstrom', 'Url': '/GrandCompany/1'}, 'Rank': {'ID': 10, 'Icon': '/i/083000/083010.png', 'Name': 'First Storm Lieutenant', 'Url': '/GCRankLimsaMaleText/10'}}",1,,"{'ID': 8, 'Name': 'Viera', 'Url': '/Race/8'}",25th Sun of the 5th Umbral Moon,Ultros,"{'ID': 403, 'Icon': '/c/Title.png', 'Name': 'Philanthropist', 'Url': '/Title/403'}",False,"{'ID': 3, 'Icon': '/i/060000/060883.png', 'Name': ""Ul'dah"", 'Url': '/Town/3'}","{'ID': 16, 'Icon': None, 'Name': 'Veena', 'Url': '/Tribe/16'}",-,"{'GuardianDeity': None, 'ID': 12, 'Icon': '/i/061000/061612.png', 'Name': 'Althyk, the Keeper', 'Url': '/GuardianDeity/12'}"
